,average_stars,review_count,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,cool,fans,funny,rev_length,rev_stars,rev_use,friend_count,friend_label,rev_count_label,buss_star,buss_review,alpha_length,length_lemmatize,NN,NNP,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,Faker
0,4.67,8,0,0,0,0,0,0,0,0,1,0,0,0,520,5,3,9,1,1,4.0,217.0,98,46,22,0.0,3.0,0.0,1.0,8.0,3.0,8.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,1
1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,823,1,2,0,0,0,4.0,1694.0,139,72,30,0.0,8.0,0.0,0.0,5.0,9.0,9.0,0.0,0.0,0.0,7.0,11.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,1
2,1.67,2,0,0,0,0,0,0,0,0,0,0,0,0,240,3,1,0,0,1,2.0,180.0,46,18,10,0.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1
3,3.0,2,0,0,0,0,0,0,0,0,0,1,0,0,174,4,0,0,0,1,3.0,70.0,35,18,6,0.0,3.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
4,3.73,48,1,0,1,2,0,0,1,0,1,2,3,6,1511,3,0,261,3,2,4.5,145.0,279,137,55,0.0,9.0,0.0,0.0,13.0,4.0,17.0,1.0,0.0,0.0,14.0,15.0,3.0,10.0,6.0,16.0,1.0,2.0,1.0,1
5,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,3.5,85.0,9,7,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
6,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,439,5,0,0,0,0,4.0,106.0,88,38,17,0.0,2.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,6.0,9.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1
7,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,305,5,0,0,0,1,3.5,49.0,56,27,10,0.0,6.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1
8,3.96,50,7,0,7,2,0,4,9,0,7,5,1,12,873,5,3,98,2,2,4.0,3.0,163,78,37,0.0,9.0,1.0,0.0,13.0,5.0,8.0,0.0,0.0,1.0,8.0,12.0,3.0,3.0,5.0,4.0,0.0,0.0,3.0,1
9,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,295,4,0,0,0,1,3.5,34.0,58,24,7,0.0,2.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1
10,3.3,62,1,0,1,0,0,1,1,0,0,0,2,0,152,1,7,0,0,3,4.0,142.0,27,17,4,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1
